Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Country Code
Sri Lanka,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,27.81860821,,2021,%,17.4.1,SRI
"Taipei,China",17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,,,,%,17.4.1,TAP
Tajikistan,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,5.961319215,,2021,%,17.4.1,TAJ
Thailand,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,0.481618439,,2021,%,17.4.1,THA
Timor-Leste,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,2.004723354,,2021,%,17.4.1,TIM
Tonga,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,3.634518328,,2021,%,17.4.1,TON
Turkmenistan,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,,,,%,17.4.1,TKM
Tuvalu,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,,,,%,17.4.1,TUV
Uzbekistan,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,6.018825893,,2021,%,17.4.1,UZB
Vanuatu,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,6.550655326,,2021,%,17.4.1,VAN
Viet Nam,17.4.1 – Debt Service as a Percentage of Exports of Goods and Services,1.158047061,,2021,%,17.4.1,VIE
Afghanistan,2.1.1 – Prevalence of Undernourishment,29.8,,2019-2021,%,2.1.1,AFG
Armenia,2.1.1 – Prevalence of Undernourishment,3.5,,2019-2021,%,2.1.1,ARM
Azerbaijan,2.1.1 – Prevalence of Undernourishment,<2.5,,2019-2021,%,2.1.1,AZE
Bangladesh,2.1.1 – Prevalence of Undernourishment,11.4,,2019-2021,%,2.1.1,BAN
Bhutan,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,BHU
Brunei Darussalam,2.1.1 – Prevalence of Undernourishment,5.9,,2019-2021,%,2.1.1,BRU
Cambodia,2.1.1 – Prevalence of Undernourishment,6.3,,2019-2021,%,2.1.1,CAM
"China, People's Republic of",2.1.1 – Prevalence of Undernourishment,<2.5,,2019-2021,%,2.1.1,PRC
Cook Islands,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,COO
Fiji,2.1.1 – Prevalence of Undernourishment,5.7,,2019-2021,%,2.1.1,FIJ
Georgia,2.1.1 – Prevalence of Undernourishment,7.6,,2019-2021,%,2.1.1,GEO
"Hong Kong, China",2.1.1 – Prevalence of Undernourishment,<2.5,,2019-2021,%,2.1.1,HKG
India,2.1.1 – Prevalence of Undernourishment,16.3,,2019-2021,%,2.1.1,IND
Indonesia,2.1.1 – Prevalence of Undernourishment,6.5,,2019-2021,%,2.1.1,INO
Kazakhstan,2.1.1 – Prevalence of Undernourishment,<2.5,,2019-2021,%,2.1.1,KAZ
Kiribati,2.1.1 – Prevalence of Undernourishment,4.2,,2019-2021,%,2.1.1,KIR
"Korea, Republic of",2.1.1 – Prevalence of Undernourishment,<2.5,,2019-2021,%,2.1.1,KOR
Kyrgyz Republic,2.1.1 – Prevalence of Undernourishment,5.3,,2019-2021,%,2.1.1,KGZ
Lao People's Democratic Republic,2.1.1 – Prevalence of Undernourishment,5.1,,2019-2021,%,2.1.1,LAO
Malaysia,2.1.1 – Prevalence of Undernourishment,<2.5,,2019-2021,%,2.1.1,MAL
Maldives,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,MLD
Marshall Islands,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,RMI
"Micronesia, Federated States of",2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,FSM
Mongolia,2.1.1 – Prevalence of Undernourishment,3.6,,2019-2021,%,2.1.1,MON
Myanmar,2.1.1 – Prevalence of Undernourishment,3.1,,2019-2021,%,2.1.1,MYA
Nauru,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,NAU
Nepal,2.1.1 – Prevalence of Undernourishment,5.5,,2019-2021,%,2.1.1,NEP
Niue,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,NIU
Pakistan,2.1.1 – Prevalence of Undernourishment,16.9,,2019-2021,%,2.1.1,PAK
Palau,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,PLW
Papua New Guinea,2.1.1 – Prevalence of Undernourishment,21.6,,2019-2021,%,2.1.1,PNG
Philippines,2.1.1 – Prevalence of Undernourishment,5.2,,2019-2021,%,2.1.1,PHI
Samoa,2.1.1 – Prevalence of Undernourishment,4.4,,2019-2021,%,2.1.1,SAM
Singapore,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,SIN
Solomon Islands,2.1.1 – Prevalence of Undernourishment,18.1,,2019-2021,%,2.1.1,SOL
Sri Lanka,2.1.1 – Prevalence of Undernourishment,3.4,,2019-2021,%,2.1.1,SRI
"Taipei,China",2.1.1 – Prevalence of Undernourishment,3.5,,2019-2021,%,2.1.1,TAP
Tajikistan,2.1.1 – Prevalence of Undernourishment,8.6,,2019-2021,%,2.1.1,TAJ
Thailand,2.1.1 – Prevalence of Undernourishment,8.8,,2019-2021,%,2.1.1,THA
Timor-Leste,2.1.1 – Prevalence of Undernourishment,26.2,,2019-2021,%,2.1.1,TIM
Tonga,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,TON
Turkmenistan,2.1.1 – Prevalence of Undernourishment,3.5,,2019-2021,%,2.1.1,TKM
Tuvalu,2.1.1 – Prevalence of Undernourishment,,,,%,2.1.1,TUV
Uzbekistan,2.1.1 – Prevalence of Undernourishment,<2.5,,2019-2021,%,2.1.1,UZB
Vanuatu,2.1.1 – Prevalence of Undernourishment,11.9,,2019-2021,%,2.1.1,VAN
Viet Nam,2.1.1 – Prevalence of Undernourishment,5.7,,2019-2021,%,2.1.1,VIE
Afghanistan,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,35.1,,2020,%,2.2.1,AFG
Armenia,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,9.1,,2020,%,2.2.1,ARM
Azerbaijan,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,16.3,,2020,%,2.2.1,AZE
Bangladesh,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,30.2,,2020,%,2.2.1,BAN
Bhutan,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,22.4,,2020,%,2.2.1,BHU
Brunei Darussalam,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,12.7,,2020,%,2.2.1,BRU
Cambodia,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,29.9,,2020,%,2.2.1,CAM
"China, People's Republic of",2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,4.7,,2020,%,2.2.1,PRC
Cook Islands,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,,,,%,2.2.1,COO
Fiji,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,7.5,,2020,%,2.2.1,FIJ
Georgia,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,5.7,,2020,%,2.2.1,GEO
"Hong Kong, China",2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,,,,%,2.2.1,HKG
India,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,30.9,,2020,%,2.2.1,IND
Indonesia,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,31.8,,2020,%,2.2.1,INO
Kazakhstan,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,6.7,,2020,%,2.2.1,KAZ
Kiribati,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,14.9,,2020,%,2.2.1,KIR
"Korea, Republic of",2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,2.2,,2020,%,2.2.1,KOR
Kyrgyz Republic,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,11.4,,2020,%,2.2.1,KGZ
Lao People's Democratic Republic,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,30.2,,2020,%,2.2.1,LAO
Malaysia,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,20.9,,2020,%,2.2.1,MAL
Maldives,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,14.2,,2020,%,2.2.1,MLD
Marshall Islands,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,32.2,,2020,%,2.2.1,RMI
"Micronesia, Federated States of",2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,,,,%,2.2.1,FSM
Mongolia,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,7.1,,2020,%,2.2.1,MON
Myanmar,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,25.2,,2020,%,2.2.1,MYA
Nauru,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,15,,2020,%,2.2.1,NAU
Nepal,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,30.4,,2020,%,2.2.1,NEP
Niue,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,,,,%,2.2.1,NIU
Pakistan,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,36.7,,2020,%,2.2.1,PAK
Palau,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,,,,%,2.2.1,PLW
Papua New Guinea,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,48.4,,2020,%,2.2.1,PNG
Philippines,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,28.7,,2020,%,2.2.1,PHI
Samoa,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,6.8,,2020,%,2.2.1,SAM
Singapore,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,2.8,,2020,%,2.2.1,SIN
Solomon Islands,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,29.3,,2020,%,2.2.1,SOL
Sri Lanka,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,16,,2020,%,2.2.1,SRI
"Taipei,China",2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,,,,%,2.2.1,TAP
Tajikistan,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,15.3,,2020,%,2.2.1,TAJ
Thailand,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,12.3,,2020,%,2.2.1,THA
Timor-Leste,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,48.8,,2020,%,2.2.1,TIM
Tonga,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,2.6,,2020,%,2.2.1,TON
Turkmenistan,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,7.6,,2020,%,2.2.1,TKM
Tuvalu,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,9.7,,2020,%,2.2.1,TUV
Uzbekistan,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,9.9,,2020,%,2.2.1,UZB
Vanuatu,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,28.7,,2020,%,2.2.1,VAN
Viet Nam,2.2.1 – Prevalence of Stunting among Children under 5 Years of Age,22.3,,2020,%,2.2.1,VIE
Afghanistan,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,3.9,,2020,%,2.2.2c,AFG
Armenia,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,10.8,,2020,%,2.2.2c,ARM
Azerbaijan,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,9.4,,2020,%,2.2.2c,AZE
Bangladesh,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,2.1,,2020,%,2.2.2c,BAN
Bhutan,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,5.2,,2020,%,2.2.2c,BHU
Brunei Darussalam,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,9.3,,2020,%,2.2.2c,BRU
Cambodia,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,2.1,,2020,%,2.2.2c,CAM
"China, People's Republic of",2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,8.3,,2020,%,2.2.2c,PRC
Cook Islands,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,,,,%,2.2.2c,COO
Fiji,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,5.2,,2020,%,2.2.2c,FIJ
Georgia,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,7.6,,2020,%,2.2.2c,GEO
"Hong Kong, China",2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,,,,%,2.2.2c,HKG
India,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,1.9,,2020,%,2.2.2c,IND
Indonesia,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,11.1,,2020,%,2.2.2c,INO
Kazakhstan,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,8.8,,2020,%,2.2.2c,KAZ
Kiribati,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,2.4,,2020,%,2.2.2c,KIR
"Korea, Republic of",2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,8.8,,2020,%,2.2.2c,KOR
Kyrgyz Republic,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,5.8,,2020,%,2.2.2c,KGZ
Lao People's Democratic Republic,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,3,,2020,%,2.2.2c,LAO
Malaysia,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,6.1,,2020,%,2.2.2c,MAL
Maldives,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,4.6,,2020,%,2.2.2c,MLD
Marshall Islands,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,4.2,,2020,%,2.2.2c,RMI
"Micronesia, Federated States of",2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,,,,%,2.2.2c,FSM
Mongolia,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,10.1,,2020,%,2.2.2c,MON
Myanmar,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,1.5,,2020,%,2.2.2c,MYA
Nauru,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,3.7,,2020,%,2.2.2c,NAU
Nepal,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,1.8,,2020,%,2.2.2c,NEP
Niue,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,,,,%,2.2.2c,NIU
Pakistan,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,3.4,,2020,%,2.2.2c,PAK
Palau,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,,,,%,2.2.2c,PLW
Papua New Guinea,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,8.9,,2020,%,2.2.2c,PNG
Philippines,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,4.2,,2020,%,2.2.2c,PHI
Samoa,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,7.1,,2020,%,2.2.2c,SAM
Singapore,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,4.8,,2020,%,2.2.2c,SIN
Solomon Islands,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,4,,2020,%,2.2.2c,SOL
Sri Lanka,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,1.3,,2020,%,2.2.2c,SRI
"Taipei,China",2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,,,,%,2.2.2c,TAP
Tajikistan,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,3.5,,2020,%,2.2.2c,TAJ
Thailand,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,9.2,,2020,%,2.2.2c,THA
Timor-Leste,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,2.6,,2020,%,2.2.2c,TIM
Tonga,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,12.6,,2020,%,2.2.2c,TON
Turkmenistan,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,3.8,,2020,%,2.2.2c,TKM
Tuvalu,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,6.4,,2020,%,2.2.2c,TUV
Uzbekistan,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,5,,2020,%,2.2.2c,UZB
Vanuatu,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,4.9,,2020,%,2.2.2c,VAN
Viet Nam,2.2.2 – Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,6,,2020,%,2.2.2c,VIE
Afghanistan,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,5.1,,2018,%,2.2.2d,AFG
Armenia,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,4.4,,2016,%,2.2.2d,ARM
Azerbaijan,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,AZE
Bangladesh,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,9.8,,2019,%,2.2.2d,BAN
Bhutan,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,BHU
Brunei Darussalam,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,BRU
Cambodia,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,9.6000004,,2021,%,2.2.2d,CAM
"China, People's Republic of",2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,1.9,,2017,%,2.2.2d,PRC
Cook Islands,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,COO
Fiji,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,4.5975385,,2021,%,2.2.2d,FIJ
Georgia,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,0.6,,2018,%,2.2.2d,GEO
"Hong Kong, China",2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,HKG
India,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,18.745548,,2020,%,2.2.2d,IND
Indonesia,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,10.2,,2018,%,2.2.2d,INO
Kazakhstan,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,3.1,,2015,%,2.2.2d,KAZ
Kiribati,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,3.5,,2018,%,2.2.2d,KIR
"Korea, Republic of",2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,0,,2020,%,2.2.2d,KOR
Kyrgyz Republic,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,2,,2018,%,2.2.2d,KGZ
Lao People's Democratic Republic,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,9,,2017,%,2.2.2d,LAO
Malaysia,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,9.7,,2019,%,2.2.2d,MAL
Maldives,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,9.1,,2017,%,2.2.2d,MLD
Marshall Islands,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,3.5,,2017,%,2.2.2d,RMI
"Micronesia, Federated States of",2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,FSM
Mongolia,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,0.9,,2018,%,2.2.2d,MON
Myanmar,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,6.7,,2018,%,2.2.2d,MYA
Nauru,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,NAU
Nepal,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,12,,2019,%,2.2.2d,NEP
Niue,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,NIU
Pakistan,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,7.1,,2018,%,2.2.2d,PAK
Palau,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,PLW
Papua New Guinea,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,PNG
Philippines,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,5.7999997,,2019,%,2.2.2d,PHI
Samoa,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,3.1,,2019,%,2.2.2d,SAM
Singapore,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,SIN
Solomon Islands,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,8.5,,2015,%,2.2.2d,SOL
Sri Lanka,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,15.1,,2016,%,2.2.2d,SRI
"Taipei,China",2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,TAP
Tajikistan,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,5.6,,2017,%,2.2.2d,TAJ
Thailand,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,7.7,,2019,%,2.2.2d,THA
Timor-Leste,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,8.2895908,,2020,%,2.2.2d,TIM
Tonga,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,1.1,,2019,%,2.2.2d,TON
Turkmenistan,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,4.1,,2019,%,2.2.2d,TKM
Tuvalu,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,2.7658949,,2019,%,2.2.2d,TUV
Uzbekistan,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,1.8,,2017,%,2.2.2d,UZB
Vanuatu,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,,,%,2.2.2d,VAN
Viet Nam,2.2.2 – Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,5.2000003,,2019,%,2.2.2d,VIE
Afghanistan,3.1.1 – Maternal Mortality Ratio,620,,2020,"per 100,000 live births",3.1.1,AFG
Armenia,3.1.1 – Maternal Mortality Ratio,27,,2020,"per 100,000 live births",3.1.1,ARM
Azerbaijan,3.1.1 – Maternal Mortality Ratio,41,,2020,"per 100,000 live births",3.1.1,AZE
Bangladesh,3.1.1 – Maternal Mortality Ratio,123,,2020,"per 100,000 live births",3.1.1,BAN
Bhutan,3.1.1 – Maternal Mortality Ratio,60,,2020,"per 100,000 live births",3.1.1,BHU
Brunei Darussalam,3.1.1 – Maternal Mortality Ratio,44,,2020,"per 100,000 live births",3.1.1,BRU
Cambodia,3.1.1 – Maternal Mortality Ratio,218,,2020,"per 100,000 live births",3.1.1,CAM
"China, People's Republic of",3.1.1 – Maternal Mortality Ratio,23,,2020,"per 100,000 live births",3.1.1,PRC
Cook Islands,3.1.1 – Maternal Mortality Ratio,0,"Cook Islands Ministry of Health, Cook Islands Vital Statistics Report 2013-17 (2019)",2017,"per 100,000 live births",3.1.1,COO
Fiji,3.1.1 – Maternal Mortality Ratio,38,,2020,"per 100,000 live births",3.1.1,FIJ
Georgia,3.1.1 – Maternal Mortality Ratio,28,,2020,"per 100,000 live births",3.1.1,GEO
"Hong Kong, China",3.1.1 – Maternal Mortality Ratio,7.8,Hong Kong Annual Digest of Statistics 2022 edition,2021,"per 100,000 live births",3.1.1,HKG
India,3.1.1 – Maternal Mortality Ratio,103,,2020,"per 100,000 live births",3.1.1,IND
Indonesia,3.1.1 – Maternal Mortality Ratio,173,,2020,"per 100,000 live births",3.1.1,INO
Kazakhstan,3.1.1 – Maternal Mortality Ratio,13,,2020,"per 100,000 live births",3.1.1,KAZ
Kiribati,3.1.1 – Maternal Mortality Ratio,76,,2020,"per 100,000 live births",3.1.1,KIR
"Korea, Republic of",3.1.1 – Maternal Mortality Ratio,8,,2020,"per 100,000 live births",3.1.1,KOR
Kyrgyz Republic,3.1.1 – Maternal Mortality Ratio,50,,2020,"per 100,000 live births",3.1.1,KGZ
Lao People's Democratic Republic,3.1.1 – Maternal Mortality Ratio,126,,2020,"per 100,000 live births",3.1.1,LAO
Malaysia,3.1.1 – Maternal Mortality Ratio,21,,2020,"per 100,000 live births",3.1.1,MAL
Maldives,3.1.1 – Maternal Mortality Ratio,57,,2020,"per 100,000 live births",3.1.1,MLD
Marshall Islands,3.1.1 – Maternal Mortality Ratio,92,"UNSD Database - (Country data, from Marshall Islands Ministry of Health Annual Report 2011, gives a MMR of 105 in 2011.)",2017,"per 100,000 live births",3.1.1,RMI
"Micronesia, Federated States of",3.1.1 – Maternal Mortality Ratio,74,,2020,"per 100,000 live births",3.1.1,FSM
Mongolia,3.1.1 – Maternal Mortality Ratio,39,,2020,"per 100,000 live births",3.1.1,MON
Myanmar,3.1.1 – Maternal Mortality Ratio,179,,2020,"per 100,000 live births",3.1.1,MYA
Nauru,3.1.1 – Maternal Mortality Ratio,0,"Nauru Vital Statistics Report, 2015-17 (2019)",2015,"per 100,000 live births",3.1.1,NAU
Nepal,3.1.1 – Maternal Mortality Ratio,174,,2020,"per 100,000 live births",3.1.1,NEP
Niue,3.1.1 – Maternal Mortality Ratio,0,Niue Vital Statistics Report 2012-2016,2016,"per 100,000 live births",3.1.1,NIU
Pakistan,3.1.1 – Maternal Mortality Ratio,154,,2020,"per 100,000 live births",3.1.1,PAK
Palau,3.1.1 – Maternal Mortality Ratio,,,,"per 100,000 live births",3.1.1,PLW
Papua New Guinea,3.1.1 – Maternal Mortality Ratio,192,,2020,"per 100,000 live births",3.1.1,PNG
Philippines,3.1.1 – Maternal Mortality Ratio,78,,2020,"per 100,000 live births",3.1.1,PHI
Samoa,3.1.1 – Maternal Mortality Ratio,59,,2020,"per 100,000 live births",3.1.1,SAM
Singapore,3.1.1 – Maternal Mortality Ratio,7,,2020,"per 100,000 live births",3.1.1,SIN
Solomon Islands,3.1.1 – Maternal Mortality Ratio,122,,2020,"per 100,000 live births",3.1.1,SOL
Sri Lanka,3.1.1 – Maternal Mortality Ratio,29,,2020,"per 100,000 live births",3.1.1,SRI
"Taipei,China",3.1.1 – Maternal Mortality Ratio,14,"DGBAS Statistical Yearbook 2021, published 2022-09-22",2021,"per 100,000 live births",3.1.1,TAP
Tajikistan,3.1.1 – Maternal Mortality Ratio,17,,2020,"per 100,000 live births",3.1.1,TAJ
Thailand,3.1.1 – Maternal Mortality Ratio,29,,2020,"per 100,000 live births",3.1.1,THA
Timor-Leste,3.1.1 – Maternal Mortality Ratio,204,,2020,"per 100,000 live births",3.1.1,TIM
Tonga,3.1.1 – Maternal Mortality Ratio,126,,2020,"per 100,000 live births",3.1.1,TON
Turkmenistan,3.1.1 – Maternal Mortality Ratio,5,,2020,"per 100,000 live births",3.1.1,TKM
Tuvalu,3.1.1 – Maternal Mortality Ratio,,,,"per 100,000 live births",3.1.1,TUV
Uzbekistan,3.1.1 – Maternal Mortality Ratio,30,,2020,"per 100,000 live births",3.1.1,UZB
